station,thickness,texture,cn,rew
grid_001,0.2,sand,46,5
grid_001,0.2,sand,46,5
grid_001,0.2,sand,46,5
grid_001,0.2,loamy sand,46,5
grid_001,0.2,loamy sand,46,5
grid_001,0.5,loamy sand,46,5
grid_001,0.5,loamy sand,46,5
grid_002,0.2,sand,46,5
grid_002,0.2,sand,46,5
grid_002,0.2,sand,46,5
grid_002,0.2,loamy sand,46,5
grid_002,0.2,loamy sand,46,5
grid_002,0.5,loamy sand,46,5
grid_002,0.5,loamy sand,46,5
grid_003,0.2,sand,46,5
grid_003,0.2,sand,46,5
grid_003,0.2,sand,46,5
grid_003,0.2,loamy sand,46,5
grid_003,0.2,loamy sand,46,5
grid_003,0.5,loamy sand,46,5
grid_003,0.5,loamy sand,46,5
grid_004,0.2,sandy loam,46,5
grid_004,0.2,sandy loam,46,5
grid_004,0.2,sandy loam,46,5
grid_004,0.2,sandy loam,46,5
grid_004,0.2,sandy loam,46,5
grid_004,0.5,sandy loam,46,5
grid_004,0.5,sandy clay loam,46,5
grid_005,0.2,sandy loam,46,5
grid_005,0.2,sandy loam,46,5
grid_005,0.2,sandy loam,46,5
grid_005,0.2,sandy loam,46,5
grid_005,0.2,sandy loam,46,5
grid_005,0.5,sandy loam,46,5
grid_005,0.5,sandy clay loam,46,5
grid_006,0.2,sandy loam,46,5
grid_006,0.2,sandy loam,46,5
grid_006,0.2,sandy loam,46,5
grid_006,0.2,sandy loam,46,5
grid_006,0.2,sandy loam,46,5
grid_006,0.5,sandy loam,46,5
grid_006,0.5,sandy clay loam,46,5
grid_007,0.2,sand,46,5
grid_007,0.2,sand,46,5
grid_007,0.2,sand,46,5
grid_007,0.2,loamy sand,46,5
grid_007,0.2,loamy sand,46,5
grid_007,0.5,loamy sand,46,5
grid_007,0.5,loamy sand,46,5
grid_008,0.2,sand,46,5
grid_008,0.2,sand,46,5
grid_008,0.2,sand,46,5
grid_008,0.2,loamy sand,46,5
grid_008,0.2,loamy sand,46,5
grid_008,0.5,loamy sand,46,5
grid_008,0.5,loamy sand,46,5
grid_009,0.2,sand,46,5
grid_009,0.2,sand,46,5
grid_009,0.2,sand,46,5
grid_009,0.2,loamy sand,46,5
grid_009,0.2,loamy sand,46,5
grid_009,0.5,loamy sand,46,5
grid_009,0.5,loamy sand,46,5
grid_010,0.2,clay,46,5
grid_010,0.2,clay,46,5
grid_010,0.2,clay,46,5
grid_010,0.2,clay,46,5
grid_010,0.2,clay,46,5
grid_010,0.5,clay,46,5
grid_010,0.5,clay,46,5
grid_011,0.2,sandy loam,46,5
grid_011,0.2,sandy loam,46,5
grid_011,0.2,sandy loam,46,5
grid_011,0.2,sandy loam,46,5
grid_011,0.2,sandy loam,46,5
grid_011,0.5,sandy loam,46,5
grid_011,0.5,sandy clay loam,46,5
grid_012,0.2,sandy loam,46,5
grid_012,0.2,sandy clay loam,46,5
grid_012,0.2,sandy clay loam,46,5
grid_012,0.2,sandy clay loam,46,5
grid_012,0.2,sandy clay loam,46,5
grid_012,0.5,sandy clay loam,46,5
grid_012,0.5,clay loam,46,5
grid_013,0.2,sandy loam,46,5
grid_013,0.2,sandy clay loam,46,5
grid_013,0.2,sandy clay loam,46,5
grid_013,0.2,sandy clay loam,46,5
grid_013,0.2,sandy clay loam,46,5
grid_013,0.5,sandy clay loam,46,5
grid_013,0.5,clay loam,46,5
grid_014,0.2,sand,46,5
grid_014,0.2,sand,46,5
grid_014,0.2,sand,46,5
grid_014,0.2,loamy sand,46,5
grid_014,0.2,loamy sand,46,5
grid_014,0.5,loamy sand,46,5
grid_014,0.5,loamy sand,46,5
grid_015,0.2,sandy loam,46,5
grid_015,0.2,sandy loam,46,5
grid_015,0.2,sandy loam,46,5
grid_015,0.2,sandy loam,46,5
grid_015,0.2,sandy loam,46,5
grid_015,0.5,sandy loam,46,5
grid_015,0.5,sandy clay loam,46,5
grid_016,0.2,sandy loam,46,5
grid_016,0.2,sandy loam,46,5
grid_016,0.2,sandy loam,46,5
grid_016,0.2,sandy loam,46,5
grid_016,0.2,sandy loam,46,5
grid_016,0.5,sandy loam,46,5
grid_016,0.5,sandy clay loam,46,5
grid_017,0.2,sandy loam,46,5
grid_017,0.2,sandy loam,46,5
grid_017,0.2,sandy loam,46,5
grid_017,0.2,sandy loam,46,5
grid_017,0.2,sandy loam,46,5
grid_017,0.5,sandy loam,46,5
grid_017,0.5,sandy clay loam,46,5
